plot,treatment,Algal_Total,Algal_Species,Id,morph,growth,growthBin,dead,algalContact,avgContact,max,Month,Year,Species,Percent_cover,tile,recruits,algaeBiomass_mg
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,stonyCorals,8,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,stonyCorals,8,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,stonyCorals,8,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,stonyCorals,8,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,gorgonians,5,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,gorgonians,5,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,gorgonians,5,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,gorgonians,5,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,sponges,4,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,sponges,4,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,sponges,4,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,sponges,4,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,zooanthids,0,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,zooanthids,0,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,zooanthids,0,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,zooanthids,0,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,fireCoral,2,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,fireCoral,2,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,fireCoral,2,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,fireCoral,2,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,bare,0,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,bare,0,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,bare,0,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,bare,0,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,dictyota,12,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,dictyota,12,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,dictyota,12,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,dictyota,12,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,sargassum,1,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,sargassum,1,2,1,35
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,sargassum,1,3,1,28
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,sargassum,1,4,1,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,acanthophora,0,1,0,88
1C,Control,50,15,DS1 #799,mound.crust,-0.284572131,-3,0,1,14.17,20,February,2014,acanthophora,0,2,1,35
